Date,Open,High,Low,Close,Volume,Change
2010-12-03,28430,29054,27882,28099,0,-0.0029805201717347796
2010-12-06,28595,28636,27841,28099,0,0.0
2010-12-07,28095,29182,26923,29102,0,0.03569522047047946
2010-12-08,29262,29974,29011,29269,0,0.005738437220809578
2010-12-09,29388,29850,28679,29354,0,0.0029040964843349837
2010-12-10,29352,29391,28725,28978,0,-0.012809157184710762
2010-12-13,29184,29558,28724,29145,0,0.005762992615087281
2010-12-14,29265,29642,28974,29019,0,-0.004323211528564075
2010-12-15,29056,29516,28805,29354,0,0.01154416072228548
2010-12-16,29182,29473,29056,29102,0,-0.00858486066634867
2010-12-17,29015,29266,28387,28559,0,-0.018658511442512515
2010-12-20,27883,28219,27256,27765,0,-0.0278020939108512
2010-12-21,28178,28847,27969,28684,0,0.03309922564379608
2010-12-22,28763,29182,28557,28643,0,-0.0014293682889415793
2010-12-23,28757,28803,28092,28141,0,-0.017526097126697615
2010-12-24,28300,28344,27255,27680,0,-0.01638179169183751
2010-12-27,27506,27590,26293,26510,0,-0.04226878612716767
2010-12-28,26543,26878,25792,25924,0,-0.02210486608826856
2010-12-29,26168,26589,25916,26469,0,0.021022990279277787
2010-12-30,26671,28007,26588,28015,0,0.05840794892137979
2011-01-03,28427,28802,27421,28056,0,0.0014635016955202307
2011-01-04,27799,28008,27422,27597,0,-0.016360136869118858
2011-01-05,27380,28259,26753,27847,0,0.00905895568358872
2011-01-06,28179,29097,28095,28517,0,0.024060042374403068
2011-01-07,28847,28974,28137,28601,0,0.002945611389697289
2011-01-10,28847,28847,28388,28601,0,0.0
2011-01-11,28849,29391,28682,28978,0,0.013181357295199536
2011-01-12,29053,29597,28720,29269,0,0.010042100904134266
2011-01-13,29515,30059,28928,28935,0,-0.011411390891386763
2011-01-14,28890,29264,28511,28517,0,-0.014446172455503725
2011-01-17,28343,32774,28133,31778,0,0.11435284216432295
2011-01-18,31145,31312,29348,29437,0,-0.0736673170117691
2011-01-19,29808,31063,29808,30608,0,0.039779868872507285
2011-01-20,30351,31022,30351,30357,0,-0.008200470465237863
2011-01-21,30099,30433,29471,29478,0,-0.028955430378495906
2011-01-24,29095,29722,28636,29646,0,0.005699165479340573
2011-01-25,29768,29978,29057,29061,0,-0.01973284760170002
2011-01-26,28930,29517,28930,29186,0,0.004301297271257054
2011-01-27,29470,29638,29137,29269,0,0.0028438292331940396
2011-01-28,29262,30224,29262,29771,0,0.01715125217807234
2011-01-31,29764,30560,29679,30022,0,0.008431023479224642
2011-02-01,30352,30646,29936,30232,0,0.006994870428352451
2011-02-07,30519,30562,30017,30189,0,-0.0014223339507806187
2011-02-08,30228,31314,30228,30315,0,0.004173705654377358
2011-02-09,30312,30353,28892,29145,0,-0.0385947550717467
2011-02-10,28927,29012,27422,27680,0,-0.05026591182020934
2011-02-11,27674,28508,27674,27680,0,0.0
2011-02-14,27761,28639,27302,28643,0,0.03479046242774575
2011-02-15,28760,28760,28008,28183,0,-0.016059770275460017
2011-02-16,28175,28594,27466,27471,0,-0.025263456693751518
2011-02-17,27466,27881,25834,26175,0,-0.04717702304248117
2011-02-18,26423,27257,26171,27137,0,0.03675262655205347
2011-02-21,27469,27885,26758,26844,0,-0.010797066735453442
2011-02-22,26420,26590,25667,26134,0,-0.026449113395917156
2011-02-23,26168,26880,25960,26384,0,0.009566082497895367
2011-02-24,26042,27254,25999,26216,0,-0.00636749545178894
2011-02-25,26548,27258,26507,26844,0,0.02395483674092147
2011-02-28,27172,27422,26589,26801,0,-0.0016018477127104358
2011-03-02,26588,27131,26252,26342,0,-0.01712622663333463
2011-03-03,26422,26673,26212,26593,0,0.009528509604433966
2011-03-04,27046,27840,26838,27847,0,0.04715526642349488
2011-03-07,28134,28972,27842,28935,0,0.039070635975150037
2011-03-08,29182,29388,28596,28851,0,-0.0029030585795749575
2011-03-09,28970,29219,27924,28015,0,-0.028976465287165132
2011-03-10,27757,28553,27757,27973,0,-0.0014991968588256022
2011-03-11,27425,28052,27302,27388,0,-0.020913023272441267
2011-03-14,26755,27006,26170,26635,0,-0.027493792902000824
2011-03-15,26796,27130,23827,26175,0,-0.01727050872911584
2011-03-16,26170,27049,26044,26635,0,0.017574021012416452
2011-03-17,25881,26758,25713,26678,0,0.0016144171203305024
2011-03-18,27006,27423,26756,26761,0,0.003111177749456573
2011-03-21,27176,27803,26968,27054,0,0.010948768730615344
2011-03-22,27343,27635,26966,27012,0,-0.0015524506542470284
2011-03-23,27426,27470,27008,27305,0,0.010847030949207692
2011-03-24,27340,27966,27340,27680,0,0.01373374839772934
2011-03-25,28006,28175,27421,27555,0,-0.004515895953757232
2011-03-28,27592,27634,26755,27095,0,-0.01669388495735802
2011-03-29,27088,27381,26797,27261,0,0.006126591622070521
2011-03-30,27383,29013,27256,28851,0,0.05832507978430734
2011-03-31,29140,29473,28890,29102,0,0.008699871754878519
2011-04-01,29098,29434,28681,29186,0,0.002886399560167785
2011-04-04,29514,30015,29304,29688,0,0.017200027410402274
2011-04-05,29932,30392,29805,29897,0,0.007039881433575923
2011-04-06,29938,29979,28849,28978,0,-0.03073887012074794
2011-04-07,28848,29266,28137,29186,0,0.00717785906549806
2011-04-08,29267,29475,28725,28726,0,-0.015760981292400444
2011-04-11,28598,28681,28095,28433,0,-0.010199818979321873
2011-04-12,28301,28845,27633,27639,0,-0.02792529806914501
2011-04-13,27594,28764,27470,28726,0,0.03932848511161757
2011-04-14,28511,28847,28136,28517,0,-0.00727563879412374
2011-04-15,28471,29140,28432,29019,0,0.017603534733667603
2011-04-18,29180,29765,28887,29228,0,0.007202177883455674
2011-04-19,29350,31273,29098,30776,0,0.05296291227589989
2011-04-20,31442,31985,30438,30818,0,0.0013646997660514693
2011-04-21,30893,31688,29848,31152,0,0.01083782205204753
2011-04-22,31105,31482,30480,30733,0,-0.013450179763739079
2011-04-25,30940,31692,30732,30818,0,0.0027657566784888843
2011-04-26,31522,31732,30184,30189,0,-0.020410149912388875
2011-04-27,30519,30728,29682,29856,0,-0.011030507800854572
2011-04-28,29848,30266,29347,29688,0,-0.00562700964630225
2011-04-29,29600,30855,29057,30692,0,0.03381837779574237
2011-05-02,31190,31274,30520,30733,0,0.001335852991007469
2011-05-03,30856,30856,29141,29145,0,-0.05167084241694597
2011-05-04,28807,29307,28388,28643,0,-0.017224223709040976
2011-05-06,28432,29141,28305,29061,0,0.014593443424222308
2011-05-09,28930,29266,28639,28643,0,-0.014383538075083413
2011-05-11,28803,29138,28261,28391,0,-0.008797961107425922
2011-05-12,28264,28681,28011,28433,0,0.0014793420450143202
2011-05-13,28803,28927,28177,28183,0,-0.008792600147715657
2011-05-16,28217,28343,27631,27847,0,-0.011922080686938896
2011-05-17,27714,28803,27714,28309,0,0.01659065608503618
2011-05-18,28432,28847,28011,28601,0,0.010314740895121632
2011-05-19,28595,28679,27714,27765,0,-0.02922974721163596
2011-05-20,27800,27966,26671,27680,0,-0.0030614082477939952
2011-05-23,27257,27509,26924,27012,0,-0.024132947976878594
2011-05-24,26463,27385,26463,27347,0,0.01240189545387227
2011-05-25,27088,28430,27088,28391,0,0.038176033934252285
2011-05-26,28432,28681,28052,28601,0,0.007396710225071379
2011-05-27,28509,29303,28509,29228,0,0.02192231040872694
2011-05-30,29638,30644,29220,30022,0,0.02716573149035173
2011-05-31,30184,30601,29600,30608,0,0.01951901938578371
2011-06-01,30437,30437,29810,30106,0,-0.016400940930475727
2011-06-02,29435,30564,29184,30106,0,0.0
2011-06-03,30144,30688,29684,30274,0,0.0055802830000664105
2011-06-07,31605,32189,29888,29897,0,-0.012452929906850763
2011-06-08,30308,30936,29889,30942,0,0.03495333979997994
2011-06-09,31020,31605,30852,31110,0,0.0054295132829165205
2011-06-10,31357,31732,30436,30524,0,-0.018836387013821954
2011-06-13,30182,31270,29680,31277,0,0.024669112829249107
2011-06-14,31394,31772,30810,31737,0,0.014707292898935354
2011-06-15,31982,32776,31774,32363,0,0.01972461165201489
2011-06-16,32025,33113,31901,32490,0,0.0039242344652843375
2011-06-17,33779,33863,32943,33452,0,0.02960911049553716
2011-06-20,33866,34744,33323,33953,0,0.014976683008489866
2011-06-21,33866,34118,33323,34120,0,0.00491856389715184
2011-06-22,34118,34828,33866,34120,0,0.0
2011-06-23,33736,33819,33025,33534,0,-0.017174677608440825
2011-06-24,33695,35116,33611,35125,0,0.04744438480348312
2011-06-27,35412,36247,34867,35041,0,-0.0023914590747331488
2011-06-28,35202,35872,34660,35542,0,0.01429753717074278
2011-06-29,35411,36498,35368,36504,0,0.02706656912948069
2011-06-30,36704,37208,36287,36964,0,0.012601358755204961
2011-07-01,37044,37127,36207,36253,0,-0.01923493128449305
2011-07-04,36248,36289,34784,35333,0,-0.02537721016191763
2011-07-05,35368,35620,34532,35125,0,-0.005886847989131971
2011-07-06,35074,35744,34489,35165,0,0.001138790035587256
2011-07-07,35164,36083,35164,35961,0,0.022636143893075555
2011-07-08,36209,36333,35707,35961,0,0.0
2011-07-11,35957,36125,35538,36085,0,0.0034481799727481555
2011-07-12,35661,36706,35284,36714,0,0.017431065539697865
2011-07-13,37046,38047,36792,38010,0,0.035299885602222636
2011-07-14,37627,39006,37459,38553,0,0.014285714285714235
2011-07-15,38670,39590,38253,38929,0,0.009752807822996923
2011-07-18,38633,39219,38215,38972,0,0.001104574995504537
2011-07-19,38590,39427,38464,39431,0,0.01177768654418565
2011-07-20,39633,39925,39089,39891,0,0.0116659481118917
2011-07-21,40050,40050,38043,38135,0,-0.04401995437567374
2011-07-22,37918,39883,37500,39891,0,0.04604693850793229
2011-07-25,40182,41728,39887,41481,0,0.03985861472512586
2011-07-26,41979,42146,40766,41397,0,-0.0020250235047371
2011-07-27,41305,41305,39927,39933,0,-0.03536488151315309
2011-07-28,39509,40637,38882,40436,0,0.012596098464928707
2011-07-29,40133,40510,39508,40143,0,-0.0072460183994460525
2011-08-01,40220,40511,39675,40519,0,0.00936651470991201
2011-08-02,40302,40848,39675,39850,0,-0.01651077272390733
2011-08-03,38883,39969,37710,39850,0,0.0
2011-08-04,40390,41225,39052,39181,0,-0.016787954830614793
2011-08-05,36959,38632,36667,37507,0,-0.04272479007682295
2011-08-08,36621,36998,32441,35375,0,-0.05684272269176416
2011-08-09,34282,34489,30894,33452,0,-0.05436042402826857
2011-08-10,35955,36038,34407,34706,0,0.03748654788951322
2011-08-11,32693,37961,32401,36839,0,0.061459113697919676
2011-08-12,37877,38838,36874,36922,0,0.0022530470425363713
2011-08-16,38712,38881,37918,38719,0,0.04867016954661185
2011-08-17,38296,39218,37922,39097,0,0.009762648828740339
2011-08-18,39094,39931,38133,38888,0,-0.005345678696575207
2011-08-19,37501,38293,35284,35292,0,-0.09247068504422962
2011-08-22,35201,37377,33489,36672,0,0.03910234614076846
2011-08-23,37878,40511,37710,40519,0,0.10490292321116934
2011-08-24,40974,40974,38923,39305,0,-0.029961252745625555
2011-08-25,40010,40762,38379,38595,0,-0.018063859559852458
2011-08-26,38466,39053,37882,38888,0,0.0075916569503822195
2011-08-29,39552,39847,38633,38972,0,0.0021600493725570935
2011-08-30,39048,39215,38505,38637,0,-0.00859591501590884
2011-08-31,38634,39430,37882,38888,0,0.006496363589305609
2011-09-01,39132,39883,38293,38470,0,-0.010748817115819764
2011-09-02,38758,39513,38173,39348,0,0.022822978944632144
2011-09-05,38882,39089,37959,38135,0,-0.030827488055301444
2011-09-06,37377,37878,35495,36379,0,-0.0460469385079324
2011-09-07,37087,37632,36837,37634,0,0.03449792462684509
2011-09-08,38132,38214,36584,37717,0,0.0022054525163415217
2011-09-09,37125,37542,36581,36881,0,-0.02216507145319091
2011-09-14,36748,36788,34866,34873,0,-0.05444537837911123
2011-09-15,35870,36370,33611,35125,0,0.0072262208585438525
2011-09-16,35832,36251,35247,36211,0,0.03091814946619209
2011-09-19,35748,36418,34995,35585,0,-0.017287564552207924
2011-09-20,35372,35874,34704,35877,0,0.008205704650835921
2011-09-21,36206,36706,35201,36379,0,0.013992251303063252
2011-09-22,35540,36502,35247,36211,0,-0.004618048874350578
2011-09-23,35033,35828,34824,35125,0,-0.029990886747121026
2011-09-26,35244,35620,33027,33409,0,-0.048854092526690374
2011-09-27,34452,36208,34368,36128,0,0.0813852554700829
2011-09-28,36666,37127,36039,36756,0,0.017382639503985775
2011-09-29,36329,37042,36205,36922,0,0.004516269452606414
2011-09-30,36874,38588,36832,36922,0,0.0
2011-10-04,35120,37213,35037,37215,0,0.007935648123070349
2011-10-05,37376,37459,36247,36504,0,-0.019105199516324056
2011-10-06,37627,38337,36705,38343,0,0.05037804076265617
2011-10-07,38550,39219,37964,39013,0,0.017473854419320256
2011-10-10,38968,39385,38382,39097,0,0.0021531284443647714
2011-10-11,39386,40013,38214,39055,0,-0.0010742512213213207
2011-10-12,39051,39384,38631,39137,0,0.0020996031237998647
2011-10-13,39513,39887,37799,37800,0,-0.03416204614559115
2011-10-14,34286,35874,32192,34287,0,-0.09293650793650798
2011-10-17,35495,35495,33863,34706,0,0.012220375069268208
2011-10-18,34030,34865,33194,34622,0,-0.0024203307785397588
2011-10-19,34907,35575,34197,34622,0,0.0
2011-10-20,35074,35074,33110,33117,0,-0.04346947027901338
2011-10-21,33404,33695,28637,29521,0,-0.10858471479904586
2011-10-24,30269,32235,30060,31945,0,0.08211103959892951
2011-10-25,32611,33615,32237,32531,0,0.018344028799499146
2011-10-26,32608,33319,32233,32866,0,0.010297869724263053
2011-10-27,32990,33201,32239,32449,0,-0.012687884135580862
2011-10-28,32863,32905,30144,30692,0,-0.05414650682609634
2011-10-31,29764,32356,29011,31527,0,0.027205786524175712
2011-11-01,31981,32189,31145,31152,0,-0.011894566561994502
2011-11-02,30141,31604,29933,31319,0,0.005360811504879326
2011-11-03,31815,33611,31562,31570,0,0.008014304415849827
